"","msa","house_index","hs_proportion","bachelor_proportion","weekly_wage","annual_wage","pop","percent_white","percent_black","percent_asian","percent_amerindian","percent_hpi","percent_other"
"85","Crestview-Fort Walton Beach-Destin, FL",279.425,0.92,0.32,923,48018,286973,0.744735567,0.080143428,0.006080711,0.026918909,0.001864287,0.03790949
"86","Cumberland, MD-WV",170.4175,0.91,0.19,807,41938,95044,0.874447624,0.063802029,0.001872817,0.009037919,0.000284079,0.006018265
"87","Dallas-Plano-Irving, TX (MSAD)",299.5691667,0.86,0.36,1320,68666,7637387,0.488705889,0.159862791,0.009690618,0.079425725,0.001228954,0.121605858
"88","Dalton, GA",205.5875,0.72,0.15,875,45492,142837,0.689562228,0.028332995,0.018454602,0.010928541,0.000273038,0.147356777
"89","Danville, IL",179.4125,0.9,0.16,887,46131,74188,0.77211948,0.140467461,0.003154149,0.007777538,0.000134793,0.022159918
"90","Daphne-Fairhope-Foley, AL",245.0075,0.9,0.32,781,40604,231767,0.817195718,0.078600491,0.006825821,0.00891844,0.000616999,0.023018808
"91","Davenport-Moline-Rock Island, IA-IL",203.7375,0.92,0.27,1074,55829,384324,0.781564513,0.082948242,0.003830102,0.023888698,0.000322644,0.032006848
"92","Dayton-Kettering, OH",182.3175,0.91,0.3,989,51403,814049,0.736865963,0.157001606,0.002458083,0.02460417,0.000471716,0.015881108
"93","Decatur, AL",191.07,0.83,0.2,968,50341,156494,0.73347221,0.11985763,0.015323271,0.00598745,0.000594272,0.05375286
"94","Decatur, IL",160.0375,0.91,0.24,1084,56379,103998,0.728946711,0.183147753,0.00227889,0.014567588,0.000346161,0.011904075
"95","Deltona-Daytona Beach-Ormond Beach, FL",281.98,0.91,0.25,825,42889,668921,0.729269974,0.102738589,0.003692514,0.019734767,0.00055313,0.046292462
"96","Denver-Aurora-Lakewood, CO",476.7175,0.92,0.45,1435,74604,2963821,0.667155338,0.056042521,0.01205066,0.046375945,0.00177035,0.088211805
"97","Des Moines-West Des Moines, IA",207.3375,0.93,0.37,1206,62697,709466,0.798217251,0.055767295,0.003901526,0.042623607,0.000593404,0.032146713
"98","Detroit-Dearborn-Livonia, MI (MSAD)",203.0108333,0.91,0.32,1266,65844,4392041,0.64917404,0.218822183,0.0032971,0.048322409,0.000258877,0.020190385
"99","Dothan, AL",179.4425,0.85,0.2,854,44423,151007,0.683617316,0.231095247,0.004820969,0.009562471,0.000490044,0.018813697
"100","Dubuque, IA",208.4575,0.93,0.31,974,50634,99266,0.889670179,0.041565088,0.002629299,0.010356013,0.008351299,0.010819415
"101","Duluth, MN-WI",277.7825,0.94,0.28,951,49451,291638,0.886698578,0.018327516,0.026021986,0.00826024,0.000332604,0.005722848
"102","Durham-Chapel Hill, NC",238.3525,0.9,0.46,1432,74443,649903,0.542982568,0.250412754,0.006551747,0.048642644,0.000404676,0.079493401
"103","East Stroudsburg, PA",178.2375,0.9,0.26,883,45919,168327,0.659187177,0.147890713,0.004039756,0.024238536,0.000439621,0.068557035
"104","Eau Claire, WI",253.78,0.94,0.29,942,48963,172007,0.896137948,0.01354596,0.005162581,0.031254542,0.000592999,0.008900801
"105","El Centro, CA",227.33,0.7,0.15,716,37251,179702,0.264532393,0.024273519,0.023739302,0.016966979,0.000918187,0.392471981
"106","El Paso, TX",206.075,0.79,0.24,752,39099,868859,0.363252265,0.033457673,0.011942099,0.013906744,0.002169512,0.217436891
"107","Elizabethtown-Fort Knox, KY",213.0275,0.91,0.21,817,42461,155572,0.78915229,0.091205358,0.004403106,0.016223999,0.003297509,0.018480189
"108","Elkhart-Goshen, IN",198.1,0.81,0.2,1025,53275,207047,0.731563365,0.054924727,0.006824537,0.010983014,0.000376726,0.106202939
"109","Elmira, NY",186.77,0.9,0.24,941,48952,84148,0.837369872,0.063162523,0.002852118,0.017017636,0.000178257,0.011253981
"110","Erie, PA",177.53,0.91,0.29,873,45415,270876,0.822261847,0.07599049,0.001760953,0.023553213,0.000221504,0.017162835
"111","Eugene-Springfield, OR",284.225,0.92,0.32,911,47365,382971,0.807356171,0.012168023,0.012204579,0.025119395,0.002650331,0.039209235
"112","Evansville, IN-KY",200.725,0.91,0.27,966,50221,314049,0.841836783,0.071925082,0.00221303,0.014106079,0.002372241,0.013618894
"113","Fairbanks, AK",208.3775,0.94,0.32,1045,54355,95655,0.689676441,0.041963306,0.078981757,0.03244995,0.006314359,0.023386127
"114","Fargo, ND-MN",255.6875,0.95,0.39,1042,54194,249843,0.827551702,0.064652602,0.015053454,0.027413215,0.000484304,0.011459196
"115","Farmington, NM",212.695,0.86,0.15,891,46335,121661,0.414397383,0.005868766,0.411150656,0.007529118,0.000583589,0.069504607
"116","Fayetteville-Springdale-Rogers, AR",218.9075,0.88,0.33,1145,59556,546725,0.702023869,0.024555307,0.01628058,0.035741918,0.0213526,0.093264438
"117","Fayetteville, NC",170.19,0.9,0.24,757,39370,520378,0.470446483,0.330131174,0.021219191,0.021939821,0.003729981,0.055813274
"118","Flagstaff, AZ",290.4825,0.91,0.38,852,44282,145101,0.574496385,0.013514724,0.249653689,0.018428543,0.001805639,0.052763248
"119","Flint, MI",178.115,0.91,0.21,946,49212,406211,0.712080667,0.196730271,0.004295797,0.010063735,0.000300337,0.011838675
"120","Florence-Muscle Shoals, AL",186.6075,0.88,0.22,796,41391,150791,0.800923132,0.122878686,0.004231022,0.007971298,0.0002719,0.016274181
"121","Florence, SC",186.5425,0.85,0.22,844,43898,199964,0.519383489,0.413624452,0.002990538,0.013087356,0.000380068,0.014127543
"122","Fond du Lac, WI",189.165,0.92,0.24,967,50275,104154,0.879754978,0.023196421,0.004858191,0.012059066,0.000336041,0.03026288
"123","Fort Collins, CO",316.2575,0.96,0.48,1115,58002,359066,0.824347056,0.010624788,0.00801524,0.023778358,0.000905126,0.038419121
"124","Fort Smith, AR-OK",191.005,0.84,0.2,819,42586,244310,0.711117023,0.039511277,0.056465147,0.029417543,0.000671278,0.055802055
"125","Fort Wayne, IN",188.3725,0.9,0.28,963,50083,419601,0.736845241,0.106393931,0.004218293,0.04403469,0.000374165,0.040088084
"126","Fresno, CA",259.39625,0.77,0.22,899,46768,1008654,0.371463356,0.048289106,0.021853877,0.112355674,0.001650715,0.28238623
"127","Gadsden, AL",205.1075,0.85,0.18,783,40734,103436,0.759735489,0.14642871,0.007144514,0.008962063,0.000522062,0.026383464
"128","Gainesville, FL",256.8175,0.91,0.38,906,47092,339247,0.647097837,0.166978632,0.003401651,0.054335042,0.00039794,0.033978193
"129","Gainesville, GA",233.7425,0.79,0.24,1023,53204,203136,0.643627914,0.072168399,0.008560767,0.020941635,0.000526741,0.144450024
"130","Gettysburg, PA",212.2175,0.89,0.23,859,44653,103852,0.880676347,0.015011747,0.00327389,0.00938836,0.000356276,0.037071987
"131","Glens Falls, NY",215.0925,0.9,0.26,935,48608,127039,0.905808453,0.019789199,0.00270783,0.008493455,0.000188918,0.009445918
"132","Goldsboro, NC",171.29,0.86,0.2,772,40165,117333,0.532262876,0.305071889,0.005812517,0.013465947,0.000656252,0.078008744
"133","Grand Forks, ND-MN",249.0575,0.95,0.33,922,47958,104362,0.836367643,0.038730572,0.021712884,0.025411548,0.000603668,0.015532474
"134","Grand Island, NE",228.0025,0.87,0.21,845,43956,77038,0.739258548,0.02566266,0.012682053,0.010008048,0.000571147,0.128456087
"135","Grand Junction, CO",290.6325,0.91,0.27,900,46817,155703,0.821885256,0.007392279,0.01106594,0.010764083,0.001335877,0.050230246
"136","Grand Rapids-Kentwood, MI",258.7525,0.92,0.34,1039,54044,1087592,0.779567154,0.06927414,0.005517694,0.02806843,0.000340201,0.046885229
"137","Grants Pass, OR",293.6075,0.91,0.18,773,40203,88090,0.855307072,0.004711091,0.01215802,0.010057895,0.001453059,0.024906346
